title,imageUrl,rating,releaseDate,genre
Boondock-Saints-2-All-Saints-Day.html,https://www.imsdb.com/posters/Boondock-Saints-2-All-Saints-Day.jpg,N/A,November 2009,"Action, Crime, Drama, Thriller"
Bottle-Rocket.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
Bound.html,https://www.imsdb.com/posters/Bound.jpg,N/A,October 1996,"Crime, Drama, Thriller"
"Bounty-Hunter,-The.html","https://www.imsdb.com/posters/Bounty-Hunter,-The.jpg",6,March 2010,"Action, Comedy, Crime, Romance"
"Bourne-Identity,-The.html","https://www.imsdb.com/posters/Bourne-Identity,-The.jpg",N/A,June 2002,"Action, Thriller, Mystery, Drama, Adventure"
"Bourne-Ultimatum,-The.html","https://www.imsdb.com/posters/Bourne-Ultimatum,-The.jpg",8,August 2007,"Action, Adventure, Mystery, Thriller"
"Bourne-Supremacy,-The.html","https://www.imsdb.com/posters/Bourne-Supremacy,-The.jpg",N/A,July 2004,"Adventure, Mystery, Thriller, Action, Drama"
"Box,-The.html","https://www.imsdb.com/posters/Box,-The.jpg",N/A,November 2009,"Drama, Mystery, Sci-Fi"
"Boxtrolls,-The.html","https://www.imsdb.com/posters/Boxtrolls,-The.jpg",N/A,September 2014,"Animation, Adventure, Comedy"
Braveheart.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, War, Action"
Boyhood.html,https://www.imsdb.com/posters/Boyhood.jpg,N/A,August 2014,Drama
Brazil.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Fantasy, Sci-Fi"
Breakdown.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Thriller"
Break.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
"Breakfast-Club,-The.html",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
Breaking-Away.html,https://www.imsdb.com/posters/Breaking-Away.jpg,N/A,July 1979,"Comedy, Drama"
Brick.html,https://www.imsdb.com/posters/Brick.jpg,N/A,April 2006,"Drama, Mystery"
Bringing-Out-the-Dead.html,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Broken-Arrow.html,https://www.imsdb.com/posters/Broken-Arrow.jpg,N/A,February 1996,"Action, Adventure, Thriller"
